Date,price_return,position,strategy_return,strategy_equity,benchmark_equity
2015-01-02,-0.0007616465162061381,0.0,-0.0,1.0,0.9992383534837939
2015-01-05,-0.011826943888551211,0.0,-0.0,1.0,0.9874204175458527
2015-01-06,-0.0006208717070699254,0.0,-0.0,1.0,0.9868073561456153
2015-01-07,-0.005332010274012311,0.0,-0.0,1.0,0.981545689184176
2015-01-08,-0.003314069355740079,0.0,-0.0,1.0,0.9782927786943919
2015-01-09,-0.003373735503850117,0.0,-0.0,1.0,0.9749922776137504
2015-01-12,0.006327069728334633,0.0,0.0,1.0,0.9811611217388004
2015-01-13,-0.0033009073829860514,0.0,-0.0,1.0,0.977922399748154
2015-01-14,-0.004499345994830373,0.0,-0.0,1.0,0.9735223885155923
2015-01-15,0.0006482569125643156,0.0,0.0,1.0,0.9741534811334837
2015-01-16,-0.012603336567629353,0.0,-0.0,1.0,0.9618758969422306
2015-01-19,-0.006130007751373401,0.0,-0.0,1.0,0.9559795902381155
2015-01-20,0.0027603766901020954,0.0,0.0,1.0,0.9586184540152222
2015-01-21,-0.004399387773624253,0.0,-0.0,1.0,0.954401119709057
2015-01-22,0.005923740168954472,0.0,0.0,1.0,0.9600547439591727
2015-01-23,-0.023124580111494097,0.0,-0.0,1.0,0.9378538811210688
2015-01-26,-0.019502980561736605,0.0,-0.0,1.0,0.9195629351078154
2015-01-27,0.01098909812204485,0.0,0.0,1.0,0.9296681024311108
2015-01-28,0.010639768137864047,0.0,0.0,1.0,0.9395595554861458
2015-01-29,-0.007558477129668395,0.0,-0.0,1.0,0.9324579160740424
2015-01-30,0.004794910507402328,0.0,0.0,1.0,0.9369289683335363
2015-02-02,-0.002340951732540897,0.0,-0.0,1.0,0.9347356628418482
2015-02-03,0.002892156413198954,0.0,0.0,1.0,0.937439064583782
2015-02-04,0.010197043765431069,0.0,0.0,1.0,0.9469981717527676
2015-02-05,-0.012099805787988194,0.0,-0.0,1.0,0.9355396777929792
2015-02-06,0.013537018424613745,0.0,0.0,1.0,0.94820409564822
2015-02-09,-0.013735707342063086,0.0,-0.0,1.0,0.9351798416898504
2015-02-10,0.0011100808001009987,0.0,0.0,1.0,0.9362179668767517
2015-02-11,-0.00044160346681876295,0.0,-0.0,1.0,0.935804529776881
2015-02-12,-0.000882333648256961,0.0,-0.0,1.0,0.9349788379520676
2015-02-13,0.008130961209320775,0.0,0.0,1.0,0.9425811146149917
2015-02-16,-0.00034192887398565297,0.0,-0.0,1.0,0.9422588189158313
2015-02-17,-0.005791773876231532,0.0,-0.0,1.0,0.9368014689037858
2015-02-18,0.0062384441848408745,0.0,0.0,1.0,0.942645652579819
2015-02-19,-0.0004103701777322666,0.0,-0.0,1.0,0.9422588189158313
2015-02-20,-0.0029213495365388864,0.0,-0.0,1.0,0.9395061515518919
2015-02-23,0.0012975205632153042,0.0,0.0,1.0,0.9407251801027977
